ID,MODEL,PARAMETERS,ACCURACY,PRECISION,RECALL,AUC,F1
109,DT,"{'max_depth': 10, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 10}",0.931633333333,0.491596638655,0.114537444934,0.552940647209,0.185788011116
110,DT,"{'max_depth': 20, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 2}",0.919666666667,0.358519660756,0.227606461087,0.598923236266,0.278443113772
111,DT,"{'max_depth': 20, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 5}",0.920966666667,0.350637522769,0.188448360255,0.581472454263,0.245144858325
112,DT,"{'max_depth': 20, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 10}",0.924066666667,0.388836329234,0.201174743025,0.589033914418,0.265161290323
113,DT,"{'max_depth': 20, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 2}",0.917533333333,0.349825783972,0.245717082721,0.606172201625,0.288671650374
114,DT,"{'max_depth': 20, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 5}",0.918466666667,0.330529857023,0.192364170338,0.581945936798,0.243193069307
115,DT,"{'max_depth': 20, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 10}",0.924066666667,0.386910490857,0.196769456681,0.586992232722,0.260869565217
116,DT,"{'max_depth': 50, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 2}",0.8992,0.249104859335,0.238374938815,0.592932864121,0.243621810905
117,DT,"{'max_depth': 50, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 5}",0.9117,0.297459893048,0.217816935879,0.5901117444,0.251483469907
118,DT,"{'max_depth': 50, 'max_features': 'sqrt', 'criterion': 'entropy', 'min_samples_split': 10}",0.9176,0.343772760379,0.231032794909,0.599402365191,0.276346604215
119,DT,"{'max_depth': 50, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 2}",0.899466666667,0.256140350877,0.250122369065,0.59852042551,0.253095591877
120,DT,"{'max_depth': 50, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 5}",0.9111,0.297402597403,0.224180127264,0.592738917229,0.255651688529
121,DT,"{'max_depth': 50, 'max_features': 'log2', 'criterion': 'entropy', 'min_samples_split': 10}",0.9147,0.310850439883,0.20753793441,0.58695743521,0.248899324919
122,KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 1}",0.896266666667,0.143904063957,0.105726872247,0.529881714193,0.121896162528
123,KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 1}",0.896266666667,0.143904063957,0.105726872247,0.529881714193,0.121896162528
124,KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 5}",0.930166666667,0.321917808219,0.0230053842389,0.509732115877,0.0429419826405
125,KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 5}",0.9287,0.257575757576,0.0249632892805,0.50985260719,0.045515394913
126,KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 10}",0.9323,0.7,0.0102790014684,0.504978539258,0.0202604920405
127,KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 10}",0.9315,0.4,0.0117474302496,0.505229869219,0.0228245363766
128,KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 25}",0.9322,0.666666666667,0.00881057268722,0.504244324867,0.0173913043478
129,KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 25}",0.932,0.545454545455,0.00881057268722,0.504137017216,0.0173410404624
130,KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 50}",0.932033333333,0.75,0.00293685756241,0.501432659564,0.00585080448562
131,KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 50}",0.9321,0.607142857143,0.00832109642682,0.50396381752,0.0164171897634
132,KNN,"{'algorithm': 'auto', 'weights': 'uniform', 'n_neighbors': 100}",0.931833333333,0.454545454545,0.00489476260401,0.502232766,0.00968523002421
133,KNN,"{'algorithm': 'auto', 'weights': 'distance', 'n_neighbors': 100}",0.931966666667,0.555555555556,0.00489476260401,0.502304304434,0.00970402717128
134,KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 1}",0.896266666667,0.143904063957,0.105726872247,0.529881714193,0.121896162528
135,KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 1}",0.896266666667,0.143904063957,0.105726872247,0.529881714193,0.121896162528
136,KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 5}",0.9302,0.324137931034,0.0230053842389,0.509750000486,0.0429616087751
137,KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 5}",0.928733333333,0.258883248731,0.0249632892805,0.509870491798,0.0455357142857
138,KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 10}",0.9323,0.7,0.0102790014684,0.504978539258,0.0202604920405
